Source Name	Characteristics [InitialTimePoint]	Characteristics [Organism]	Characteristics [OrganismPart]	Characteristics [BioSourceType]	Characteristics [DevelopmentalStage]	Protocol REF	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Parameter Value [Amplification]	Parameter Value [Label used]	Labeled Extract Name	Label	Material Type	Protocol REF	Parameter Value [temperature]	Unit [TemperatureUnit]	Parameter Value [time]	Unit [TimeUnit]	Parameter Value [Volume]	Unit [VolumeUnit]	Parameter Value [Chamber type]	Parameter Value [Quantity of label target used]	Unit [MassUnit]	Hybridization Name	Array Design REF	Protocol REF	Factor Value [time]	Unit [TimeUnit]	Scan Name	FileName	Parameter Value [Label used]	Comment [ArrayExpress FTP file]
BobwhiteFlagLeaf_4-3	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_4-3	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_4-3	polyA_RNA	P-MEXP-9249	none	Cy5	L_BobwhiteFlagLeaf_4-3	Cy5	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_1-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	20	d	H_BobwhiteFlagLeaf_1-4_BobwhiteFlagLeaf_	array09.txt	Cy5	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_4-4	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_4-4	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_4-4	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_4-4	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_4-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	20	d	H_BobwhiteFlagLeaf_4-4_BobwhiteFlagLeaf_	array12.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_5-1	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_5-1	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_5-1	polyA_RNA	P-MEXP-9249	none	Cy5	L_BobwhiteFlagLeaf_5-1	Cy5	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_4-2_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	25	d	H_BobwhiteFlagLeaf_4-2_BobwhiteFlagLeaf_	array04.txt	Cy5	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_5-2	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_5-2	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_5-2	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_5-2	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_5-2_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	25	d	H_BobwhiteFlagLeaf_5-2_BobwhiteFlagLeaf_	array05.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_5-3	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_5-3	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_5-3	polyA_RNA	P-MEXP-9249	none	Cy5	L_BobwhiteFlagLeaf_5-3	Cy5	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_2-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	25	d	H_BobwhiteFlagLeaf_2-4_BobwhiteFlagLeaf_	array10.txt	Cy5	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_5-4	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_5-4	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_5-4	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_5-4	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_5-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	25	d	H_BobwhiteFlagLeaf_5-4_BobwhiteFlagLeaf_	array13.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_6-1	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_6-1	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_6-1	polyA_RNA	P-MEXP-9249	none	Cy5	L_BobwhiteFlagLeaf_6-1	Cy5	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_5-2_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	30	d	H_BobwhiteFlagLeaf_5-2_BobwhiteFlagLeaf_	array05.txt	Cy5	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_6-2	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_6-2	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_6-2	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_6-2	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_6-2_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	30	d	H_BobwhiteFlagLeaf_6-2_BobwhiteFlagLeaf_	array06.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_6-3	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_6-3	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_6-3	polyA_RNA	P-MEXP-9249	none	Cy5	L_BobwhiteFlagLeaf_6-3	Cy5	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_3-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	30	d	H_BobwhiteFlagLeaf_3-4_BobwhiteFlagLeaf_	array11.txt	Cy5	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_6-4	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_6-4	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_6-4	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_6-4	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_6-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	30	d	H_BobwhiteFlagLeaf_6-4_BobwhiteFlagLeaf_	array14.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_7-1	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_7-1	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_7-1	polyA_RNA	P-MEXP-9249	none	Cy5	L_BobwhiteFlagLeaf_7-1	Cy5	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_6-2_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	35-37	d	H_BobwhiteFlagLeaf_6-2_BobwhiteFlagLeaf_	array06.txt	Cy5	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_7-2	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_7-2	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_7-2	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_7-2	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_7-2_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	35-37	d	H_BobwhiteFlagLeaf_7-2_BobwhiteFlagLeaf_	array07.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_7-3	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_7-3	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_7-3	polyA_RNA	P-MEXP-9249	none	Cy5	L_BobwhiteFlagLeaf_7-3	Cy5	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_4-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	35-37	d	H_BobwhiteFlagLeaf_4-4_BobwhiteFlagLeaf_	array12.txt	Cy5	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_7-4	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_7-4	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_7-4	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_7-4	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_7-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	35-37	d	H_BobwhiteFlagLeaf_7-4_BobwhiteFlagLeaf_	array15.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_8-1	pollination	Triticum aestivum	flag leaf	frozen_sample	50% yellowing of leaf sample	P-MEXP-32171	BobwhiteFlagLeaf_8-1	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_8-1	polyA_RNA	P-MEXP-9249	none	Cy5	L_BobwhiteFlagLeaf_8-1	Cy5	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_7-2_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	40-45	d	H_BobwhiteFlagLeaf_7-2_BobwhiteFlagLeaf_	array07.txt	Cy5	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_8-2	pollination	Triticum aestivum	flag leaf	frozen_sample	50% yellowing of leaf sample	P-MEXP-32171	BobwhiteFlagLeaf_8-2	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_8-2	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_8-2	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_8-2_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	40-45	d	H_BobwhiteFlagLeaf_8-2_BobwhiteFlagLeaf_	array08.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_8-3	pollination	Triticum aestivum	flag leaf	frozen_sample	50% yellowing of leaf sample	P-MEXP-32171	BobwhiteFlagLeaf_8-3	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_8-3	polyA_RNA	P-MEXP-9249	none	Cy5	L_BobwhiteFlagLeaf_8-3	Cy5	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_5-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	40-45	d	H_BobwhiteFlagLeaf_5-4_BobwhiteFlagLeaf_	array13.txt	Cy5	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_8-4	pollination	Triticum aestivum	flag leaf	frozen_sample	50% yellowing of leaf sample	P-MEXP-32171	BobwhiteFlagLeaf_8-4	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_8-4	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_8-4	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_8-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	40-45	d	H_BobwhiteFlagLeaf_8-4_BobwhiteFlagLeaf_	array16.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
